Species	Group	TaxID	Source
Arthromyces_matolae	Fungi	530044	accession_api
Artomyces_pyxidatus	Fungi	48021	accession_api
Arxiozyma_heterogenica	Fungi	278026	accession_api
Ascaphus_truei	Metazoa	8439	accession_api
Asclepias_curassavica	angiosperms	52823	accession_api
Asclepias_syriaca	angiosperms	48545	accession_api
Ascobolus_immersus_RN42	Fungi	1160509	accession_api
Ascochyta_clinopodiicola	Fungi	2249482	accession_api
Ascochyta_lentis	Fungi	205686	accession_api
Ascochyta_rabiei	Fungi	5454	accession_api
Ascodesmis_nigricans	Fungi	341454	accession_api
Ascoidea_rubescens_DSM_1968	Fungi	1344418	accession_api
Ascophyllum_nodosum	Protists	52969	accession_api
Ascosphaera_acerosa	Fungi	51565	accession_api
